,precision,recall,f1,support
14-Sarpashirsha,1.0,0.5,0.6667,2.0
19-Chatura,1.0,0.5,0.6667,2.0
17-Kangula,0.6667,1.0,0.8,2.0
15-Mrigashirsha,1.0,0.6667,0.8,3.0
9-Kapitha,0.6667,1.0,0.8,2.0
3-Mayura,1.0,0.6667,0.8,3.0
16-Simhamukha,0.75,1.0,0.8571,3.0
2-Kartarimukh,1.0,0.75,0.8571,4.0
13-Padmakosh,0.8,1.0,0.8889,4.0
1-Ardhpatka,0.8,1.0,0.8889,4.0
11-Suchi,1.0,1.0,1.0,3.0
10-Katakamukha,1.0,1.0,1.0,3.0
20-Bhramara,1.0,1.0,1.0,3.0
21-Hamsasya,1.0,1.0,1.0,3.0
12-Chandrakala,1.0,1.0,1.0,3.0
18-Alapadma,1.0,1.0,1.0,3.0
23-Sandamsha,1.0,1.0,1.0,4.0
22-Hamsapkshaka,1.0,1.0,1.0,3.0
25-Taamrachuda,1.0,1.0,1.0,2.0
24-Mukula,1.0,1.0,1.0,4.0
4-Aardhchandra,1.0,1.0,1.0,4.0
5-Aarala,1.0,1.0,1.0,4.0
6-Shukatundaka,1.0,1.0,1.0,3.0
26-Trishula,1.0,1.0,1.0,4.0
7-Mushti,1.0,1.0,1.0,3.0
8-Shikara,1.0,1.0,1.0,3.0
